"POSTE_ID","ind","C_weekday","V_weekday","C_weekend","V_weekend"
2,"00",2.76938369781312,5.60437375745527,1.645,12.495
2,"01",2.2882703777336,3.17892644135189,1.425,6.98
2,"02",2.69184890656064,3.18886679920477,1.47,4.73
2,"03",3.79125248508946,5.79324055666004,1.295,4.76
2,"04",7.18687872763419,17.7992047713718,2.655,5.825
2,"05",17.8290258449304,129.797216699801,2.52,25.04
2,"06",31.4015904572565,231.834990059642,4.46,35.175
2,"07",32.2544731610338,330.363817097416,5.43,51.645
2,"08",29.1073558648111,242.783300198807,6.205,85.665
2,"09",27.6600397614314,165.089463220676,6.68,150.135
2,"10",29.337972166998,166.045725646123,7.84,204.1
2,"11",30.6500994035785,176.075546719682,8.08,249.045
2,"12",30.6898608349901,183.664015904573,7.72,242.745
2,"13",30.3777335984095,182.256461232604,7.205,241.415
2,"14",30.6461232604374,204.974155069583,6.495,259.53
2,"15",30.286282306163,242.045725646123,5.05,255.57
2,"16",28.79324055666,335.077534791253,4.555,227.115
2,"17",22.6540755467197,404.224652087475,4.655,195.115
2,"18",16.6819085487078,239.111332007952,3.76,151.29
2,"19",12.3538767395626,116.799204771372,3.065,95.02
2,"20",7.91252485089463,60.2286282306163,1.78,56.945
2,"21",5.00596421471173,39.9423459244533,1.445,40.07
2,"22",3.44333996023857,28.8429423459245,1.365,28.38
2,"23",3.33200795228628,14.5844930417495,1.13,14.95
7,"00",1.48717948717949,16.138067061144,0.835,32.67
7,"01",0.824457593688363,9.30571992110454,0.245,20.275
7,"02",0.698224852071006,6.29783037475345,0.215,11.745
7,"03",1.18540433925049,7.22287968441815,0.36,7.945
7,"04",2.50887573964497,21.3293885601578,0.58,11.015
7,"05",5.83629191321499,96.2031558185404,0.72,25.895
7,"06",14.6114398422091,243.074950690335,2.18,41.225
7,"07",19.7613412228797,275.696252465483,2.565,69.29
7,"08",18.3254437869822,233.43392504931,2.765,130.75
7,"09",18.2209072978304,227.508875739645,3.035,213.165
7,"10",18.353057199211,260.932938856016,2.92,291.68
7,"11",17.2465483234714,281.36291913215,2.78,337.245
7,"12",15.1005917159763,300.483234714004,2.77,352.545
7,"13",15.1025641025641,299.333333333333,2.055,350.71
7,"14",15.32741617357,315.32741617357,2.39,370.235
7,"15",14.0138067061144,337.082840236686,2.29,358.015
7,"16",11.1794871794872,379.871794871795,1.855,334.585
7,"17",7.92504930966469,382.078895463511,1.88,301.335
7,"18",6.83234714003945,308.037475345168,1.54,242.325
7,"19",4.35502958579882,209.524654832347,1.235,176.36
7,"20",3.27021696252465,139.830374753452,1.23,131.54
7,"21",2.72978303747535,98.4674556213018,1.01,94.765
7,"22",2.07297830374753,77.7159763313609,0.87,71.335
7,"23",2.00986193293886,35.9467455621302,0.91,38.92
10,"00",0.758169934640523,19.847965738758,0.615384615384615,41.3903743315508
10,"01",0.555555555555556,11.1434689507495,0.39010989010989,21.807486631016
10,"02",0.496732026143791,11.6231263383298,0.269230769230769,14.7486631016043
10,"03",1.42047930283224,10.9443254817987,0.521978021978022,12.9732620320856
10,"04",2.10675381263617,36.051391862955,0.384615384615385,17.2139037433155
10,"05",9.28976034858388,179.325481798715,0.71978021978022,54.6470588235294
10,"06",17.082788671024,339.826552462527,1.91758241758242,58.6737967914438
10,"07",17.2527233115468,310.96573875803,2.4010989010989,83.7433155080214
10,"08",18.9411764705882,249.077087794433,3.34065934065934,143.529411764706
10,"09",18.8235294117647,233.970021413276,3.70879120879121,209.053475935829
10,"10",17.6122004357298,254.635974304069,3.5,268.983957219251
10,"11",16.3028322440087,273.788008565311,3.0989010989011,307.144385026738
10,"12",14.7276688453159,300.817987152034,2.91208791208791,307.839572192513
10,"13",16.6557734204793,296.218415417559,2.65934065934066,290.839572192513
10,"14",16.1895424836601,333.995717344754,2.41208791208791,313.219251336898
10,"15",16.2244008714597,375.381156316916,2.43956043956044,308.48128342246
10,"16",13.3071895424837,408.648822269807,2.2967032967033,288.967914438503
10,"17",10.8039215686275,404.655246252677,1.85164835164835,278.534759358289
10,"18",8.69063180827887,346.41113490364,1.64285714285714,251.941176470588
10,"19",5.98474945533769,235.426124197002,1.31318681318681,198.887700534759
10,"20",3.15686274509804,155.490364025696,0.791208791208791,145.042780748663
10,"21",1.71023965141612,115.23982869379,0.642857142857143,109.385026737968
10,"22",0.836601307189543,93.6081370449679,0.571428571428571,86.807486631016
10,"23",0.586056644880174,45.0471092077088,0.21978021978022,47.8128342245989
11,"00",0.210727969348659,8.68965517241379,0.133663366336634,15.8325123152709
11,"01",0.0421455938697318,4.29693486590038,0.0792079207920792,7.94088669950739
11,"02",0.101532567049808,3.72030651340996,0.0297029702970297,5.28571428571429
11,"03",0.268199233716475,5.50383141762452,0.0297029702970297,3.96059113300493
11,"04",0.517241379310345,12.0383141762452,0.178217821782178,5.85714285714286
11,"05",1.96934865900383,63.9578544061303,0.420792079207921,18.7881773399015
11,"06",3.67432950191571,209.641762452107,0.420792079207921,19.2906403940887
11,"07",4.4272030651341,240.94061302682,0.569306930693069,27.1330049261084
11,"08",4.56130268199234,141.438697318008,1,42.1428571428571
11,"09",3.72222222222222,90.5747126436782,0.97029702970297,61.256157635468
11,"10",3.31609195402299,80.3448275862069,1.04950495049505,78.1034482758621
