"POSTE_ID","ind","average_week_day","average_week_end"
2011,"00",0.0517241379310345,0.0917874396135266
2011,"01",0.024904214559387,0.0531400966183575
2011,"02",0.00574712643678161,0.0386473429951691
2011,"03",0.00957854406130268,0.0144927536231884
2011,"04",0.00191570881226054,0.00966183574879227
2011,"05",0.222222222222222,0.144927536231884
2011,"06",1.1992337164751,0.0966183574879227
2011,"07",6.1551724137931,0.429951690821256
2011,"08",7.88505747126437,1.05314009661836
2011,"09",2.33908045977011,2.40579710144928
2011,"10",1.66475095785441,4.13526570048309
2011,"11",2.08812260536398,4.59420289855072
2011,"12",2.39463601532567,4.60386473429952
2011,"13",2.39080459770115,3.3768115942029
2011,"14",2.42145593869732,4.73913043478261
2011,"15",2.61111111111111,4.90821256038647
2011,"16",4.71455938697318,4.76811594202899
2011,"17",6.89272030651341,4.68115942028986
2011,"18",6.62452107279694,3.42028985507246
2011,"19",3.22605363984674,1.93719806763285
2011,"20",1.82758620689655,1.05797101449275
2011,"21",0.994252873563218,0.748792270531401
2011,"22",0.685823754789272,0.159420289855072
2011,"23",0.134099616858238,0.072463768115942
2012,"00",0,0
2012,"01",0,0.0099009900990099
2012,"02",0,0
2012,"03",0,0
2012,"04",0,0
2012,"05",0,0
2012,"06",0.0122448979591837,0.0247524752475248
2012,"07",0.273469387755102,0.099009900990099
2012,"08",0.259183673469388,0.202970297029703
2012,"09",0.204081632653061,0.52970297029703
2012,"10",0.357142857142857,1.14356435643564
2012,"11",0.477551020408163,1.53960396039604
2012,"12",0.369387755102041,1.15346534653465
2012,"13",0.357142857142857,0.851485148514851
2012,"14",0.438775510204082,1.18316831683168
2012,"15",0.577551020408163,2
2012,"16",0.66530612244898,1.88613861386139
2012,"17",0.8,1.05940594059406
2012,"18",0.691836734693878,0.648514851485149
2012,"19",0.640816326530612,0.341584158415842
2012,"20",0.306122448979592,0.178217821782178
2012,"21",0.073469387755102,0.0792079207920792
2012,"22",0.00612244897959184,0.0148514851485149
2012,"23",0.00204081632653061,0
2013,"00",0.00845665961945032,0.0106951871657754
2013,"01",0,0
2013,"02",0,0.0160427807486631
2013,"03",0,0.0053475935828877
2013,"04",0.00845665961945032,0.0053475935828877
2013,"05",0.0274841437632135,0.0213903743315508
2013,"06",0.369978858350951,0.0695187165775401
2013,"07",1.02114164904863,0.315508021390374
2013,"08",1.41437632135307,0.550802139037433
2013,"09",1.01268498942918,0.598930481283422
2013,"10",0.735729386892178,1.05347593582888
2013,"11",0.684989429175476,1.09625668449198
2013,"12",0.617336152219873,1.09090909090909
2013,"13",0.778012684989429,1.00534759358289
2013,"14",0.87737843551797,0.668449197860963
2013,"15",0.86892177589852,0.941176470588235
2013,"16",0.695560253699789,0.620320855614973
2013,"17",0.744186046511628,0.497326203208556
2013,"18",0.678646934460888,0.310160427807487
2013,"19",0.446088794926004,0.18716577540107
2013,"20",0.147991543340381,0.0962566844919786
2013,"21",0.06553911205074,0.0641711229946524
2013,"22",0.0147991543340381,0.0320855614973262
2013,"23",0.00845665961945032,0
2021,"00",0.0306513409961686,0.0145631067961165
2021,"01",0.0114942528735632,0.0194174757281553
2021,"02",0.00191570881226054,0.0145631067961165
2021,"03",0.00957854406130268,0
2021,"04",0.00574712643678161,0.00485436893203883
2021,"05",0.147509578544061,0.0145631067961165
2021,"06",1.64750957854406,0.106796116504854
2021,"07",3.32567049808429,0.412621359223301
2021,"08",6.62068965517241,1.25242718446602
2021,"09",3.34674329501916,3.92718446601942
2021,"10",2.59770114942529,7.27184466019417
2021,"11",2.51532567049808,8.49029126213592
2021,"12",3.22605363984674,8.77669902912621
2021,"13",4.15708812260536,6.66504854368932
2021,"14",4.23563218390805,8.33980582524272
2021,"15",3.88888888888889,9.28155339805825
2021,"16",4.49233716475096,9.32038834951456
2021,"17",7.26436781609195,7.70388349514563
2021,"18",7.4367816091954,5.27669902912621
2021,"19",4.91954022988506,2.97572815533981
2021,"20",2.6551724137931,1.25242718446602
2021,"21",0.773946360153257,0.485436893203884
2021,"22",0.203065134099617,0.140776699029126
2021,"23",0.0632183908045977,0.0776699029126214
2022,"00",0.00584795321637427,0.00985221674876847
2022,"01",0.00974658869395711,0.00985221674876847
2022,"02",0.00389863547758285,0
2022,"03",0.00194931773879142,0.00492610837438424
2022,"04",0.00584795321637427,0
2022,"05",0.0721247563352826,0.00492610837438424
2022,"06",0.982456140350877,0.0295566502463054
2022,"07",1.36062378167641,0.152709359605911
2022,"08",1.00974658869396,0.945812807881773
2022,"09",1.00584795321637,3.04926108374384
2022,"10",2.2495126705653,6.09852216748769
