"POSTE_ID","date","average_values"
2011,2016-01-01,22
2011,2016-01-02,22
2011,2016-01-03,38
2011,2016-01-04,64
2011,2016-01-05,61
2011,2016-01-06,71
2011,2016-01-07,53
2011,2016-01-08,74
2011,2016-01-09,43
2011,2016-01-10,36
2011,2016-01-11,59
2011,2016-01-12,54
2011,2016-01-13,60
2011,2016-01-14,43
2011,2016-01-15,19
2011,2016-01-16,14
2011,2016-01-17,10
2011,2016-01-18,31
2011,2016-01-19,34
2011,2016-01-20,38
2011,2016-01-21,44
2011,2016-01-22,20
2011,2016-01-23,22
2011,2016-01-24,34
2011,2016-01-25,77
2011,2016-01-26,72
2011,2016-01-27,74
2011,2016-01-28,70
2011,2016-01-29,76
2011,2016-01-30,17
2011,2016-01-31,21
2011,2016-02-01,64
2011,2016-02-02,50
2011,2016-02-03,56
2011,2016-02-04,41
2011,2016-02-05,57
2011,2016-02-06,59
2011,2016-02-07,28
2011,2016-02-08,32
2011,2016-02-09,18
2011,2016-02-10,14
2011,2016-02-11,25
2011,2016-02-12,37
2011,2016-02-13,11
2011,2016-02-14,47
2011,2016-02-15,44
2011,2016-02-16,66
2011,2016-02-17,72
2011,2016-02-18,69
2011,2016-02-19,38
2011,2016-02-20,11
2011,2016-02-21,13
2011,2016-02-22,68
2011,2016-02-23,47
2011,2016-02-24,77
2011,2016-02-25,66
2011,2016-02-26,60
2011,2016-02-27,85
2011,2016-02-28,70
2011,2016-02-29,70
2011,2016-03-01,57
2011,2016-03-02,47
2011,2016-03-03,42
2011,2016-03-04,30
2011,2016-03-05,47
2011,2016-03-06,31
2011,2016-03-07,57
2011,2016-03-08,77
2011,2016-03-09,64
2011,2016-03-10,69
2011,2016-03-11,83
2011,2016-03-12,96
2011,2016-03-13,76
2011,2016-03-14,91
2011,2016-03-15,65
2011,2016-03-16,83
2011,2016-03-17,112
2011,2016-03-18,110
2011,2016-03-19,50
2011,2016-03-20,59
2011,2016-03-21,87
2011,2016-03-22,86
2011,2016-03-23,113
2011,2016-03-24,70
2011,2016-03-25,26
2011,2016-03-26,75
2011,2016-03-28,6
2011,2016-03-29,44
2011,2016-03-30,40
2011,2016-03-31,32
2011,2016-04-01,42
2011,2016-04-02,92
2011,2016-04-03,104
2011,2016-04-04,86
2011,2016-04-05,52
2011,2016-04-06,138
2011,2016-04-07,71
2011,2016-04-08,83
2011,2016-04-09,121
2011,2016-04-10,159
2011,2016-04-11,160
2011,2016-04-12,130
2011,2016-04-13,121
2011,2016-04-14,149
