"POSTE_ID","date","average_values"
2001,2021-01-01,18
2001,2021-01-02,51
2001,2021-01-03,32
2001,2021-01-04,83
2001,2021-01-05,85
2001,2021-01-06,103
2001,2021-01-07,98
2001,2021-01-08,71
2001,2021-01-09,78
2001,2021-01-10,69
2001,2021-01-11,128
2001,2021-01-12,113
2001,2021-01-13,171
2001,2021-01-14,62
2001,2021-01-15,46
2001,2021-01-16,34
2001,2021-01-17,23
2001,2021-01-18,92
2001,2021-01-19,103
2001,2021-01-20,181
2001,2021-01-21,112
2001,2021-01-22,97
2001,2021-01-23,80
2001,2021-01-24,68
2001,2021-01-25,76
2001,2021-01-26,152
2001,2021-01-27,68
2001,2021-01-28,99
2001,2021-01-29,109
2001,2021-01-30,29
2001,2021-01-31,64
2001,2021-02-01,143
2001,2021-02-02,143
2001,2021-02-03,88
2001,2021-02-04,212
2001,2021-02-05,157
2001,2021-02-06,66
2001,2021-02-07,85
2001,2021-02-08,88
2001,2021-02-09,86
2001,2021-02-10,78
2001,2021-02-11,129
2001,2021-02-12,84
2001,2021-02-13,52
2001,2021-02-14,60
2001,2021-02-15,107
2001,2021-02-16,177
2001,2021-02-17,148
2001,2021-02-18,146
2001,2021-02-19,192
2001,2021-02-20,260
2001,2021-02-21,296
2001,2021-02-22,239
2001,2021-02-23,367
2001,2021-02-24,373
2001,2021-02-25,356
2001,2021-02-26,161
2001,2021-02-27,248
2001,2021-02-28,292
2001,2021-03-01,269
2001,2021-03-02,356
2001,2021-03-03,305
2001,2021-03-04,176
2001,2021-03-05,228
2001,2021-03-06,252
2001,2021-03-07,203
2001,2021-03-08,230
2001,2021-03-09,206
2001,2021-03-10,199
2001,2021-03-11,136
2001,2021-03-12,137
2001,2021-03-13,40
2001,2021-03-14,51
2001,2021-03-15,172
2001,2021-03-16,167
2001,2021-03-17,189
2001,2021-03-18,209
2001,2021-03-19,187
2001,2021-03-20,269
2001,2021-03-21,136
2001,2021-03-22,266
2001,2021-03-23,332
2001,2021-03-24,362
2001,2021-03-25,304
2001,2021-03-26,295
2001,2021-03-27,99
2001,2021-03-29,363
2001,2021-03-30,385
2001,2021-03-31,428
2001,2021-04-01,362
2001,2021-04-02,269
2001,2021-04-03,224
2001,2021-04-04,227
2001,2021-04-05,33
2001,2021-04-06,114
2001,2021-04-07,102
2001,2021-04-08,189
2001,2021-04-09,273
2001,2021-04-10,39
2001,2021-04-11,17
2001,2021-04-12,179
2001,2021-04-13,234
2001,2021-04-14,243
2001,2021-04-15,230
2001,2021-04-16,239
2001,2021-04-17,324
2001,2021-04-18,176
2001,2021-04-19,230
2001,2021-04-20,397
2001,2021-04-21,391
2001,2021-04-22,373
2001,2021-04-23,403
2001,2021-04-24,479
2001,2021-04-25,375
2001,2021-04-26,409
2001,2021-04-27,458
2001,2021-04-28,459
2001,2021-04-29,339
2001,2021-04-30,372
2001,2021-05-01,311
2001,2021-05-02,227
2001,2021-05-03,373
2001,2021-05-04,140
2001,2021-05-05,218
2001,2021-05-06,167
2001,2021-05-07,322
2001,2021-05-08,278
2001,2021-05-09,422
2001,2021-05-10,244
2001,2021-05-11,228
2001,2021-05-12,345
2001,2021-05-13,273
2001,2021-05-14,272
2001,2021-05-15,81
2001,2021-05-16,135
2001,2021-05-17,182
2001,2021-05-18,201
2001,2021-05-19,257
2001,2021-05-20,378
2001,2021-05-21,304
2001,2021-05-22,97
2001,2021-05-23,170
2001,2021-05-24,51
2001,2021-05-25,109
2001,2021-05-26,149
2001,2021-05-27,226
2001,2021-05-28,324
2001,2021-05-29,305
2001,2021-05-30,321
2001,2021-05-31,511
2001,2021-07-01,387
2001,2021-07-02,491
2001,2021-07-03,409
2001,2021-07-04,128
2001,2021-07-05,260
2001,2021-07-06,286
2001,2021-07-07,532
2001,2021-07-08,349
2001,2021-07-09,445
2001,2021-07-10,306
2001,2021-07-11,310
2001,2021-07-12,295
2001,2021-07-13,111
2001,2021-07-14,103
2001,2021-07-15,187
2001,2021-07-16,302
2001,2021-07-17,295
2001,2021-07-18,324
2001,2021-07-19,420
2001,2021-07-20,483
2001,2021-07-21,520
2001,2021-07-22,518
2001,2021-07-23,448
2001,2021-07-24,96
2001,2021-07-25,205
2001,2021-07-26,299
2001,2021-07-27,224
2001,2021-07-28,341
2001,2021-07-29,399
2001,2021-07-30,340
2001,2021-07-31,297
2001,2021-08-01,290
2001,2021-08-02,271
2001,2021-08-03,147
2001,2021-08-04,330
2001,2021-08-05,288
2001,2021-08-06,255
2001,2021-08-07,245
2001,2021-08-08,148
2001,2021-08-09,334
