"POSTE_ID","date","average_values"
2011,2020-08-03,120.5
2011,2020-08-04,152.5
2011,2020-08-05,161.5
2011,2020-08-06,145
2011,2020-08-07,107.5
2011,2020-08-08,118.5
2011,2020-08-09,116
2011,2020-08-10,112.5
2011,2020-08-11,115.5
2011,2020-08-12,110
2011,2020-08-13,133.5
2011,2020-08-14,103
2011,2020-08-15,184.5
2011,2020-08-16,189
2011,2020-08-17,132.5
2011,2020-08-18,126.5
2011,2020-08-19,157
2011,2020-08-20,126.5
2011,2020-08-21,100.5
2011,2020-08-22,170
2011,2020-08-23,168.5
2011,2020-08-24,137
2011,2020-08-25,128
2011,2020-08-26,112
2011,2020-08-27,152
2011,2020-08-28,101.5
2011,2020-08-29,119.5
2011,2020-08-30,192.5
2011,2020-08-31,72.5
2011,2020-09-01,95.5
2011,2020-09-02,139.5
2011,2020-09-03,121.5
2011,2020-09-04,156.5
2011,2020-09-05,107.5
2011,2020-09-06,151.5
2011,2020-09-07,175.5
2011,2020-09-08,154.5
2011,2020-09-09,134
2011,2020-09-10,170
2011,2020-09-11,145
2011,2020-09-12,147.5
2011,2020-09-13,211.5
2011,2020-09-14,192
2011,2020-09-15,194
2011,2020-09-16,156.5
2011,2020-09-17,175.5
2011,2020-09-18,171
2011,2020-09-19,143.5
2011,2020-09-20,215.5
2011,2020-09-21,189.5
2011,2020-09-22,199.5
2011,2020-09-23,173
2011,2020-09-24,134.5
2011,2020-09-25,55
2011,2020-09-26,45
2011,2020-09-27,30.5
2011,2020-09-28,71
2011,2020-09-29,74.5
2011,2020-09-30,101.5
2011,2020-10-01,62
2011,2020-10-02,43
2011,2020-10-03,33
2011,2020-10-04,32.5
2011,2020-10-05,44
2011,2020-10-06,41
2011,2020-10-07,73.5
2011,2020-10-08,52
2011,2020-10-09,31.5
2011,2020-10-10,90.5
2011,2020-10-11,107
2011,2020-10-12,89
2011,2020-10-13,77
2011,2020-10-14,88.5
2011,2020-10-15,78
2011,2020-10-16,78
2011,2020-10-17,85.5
2011,2020-10-18,81
2011,2020-10-19,124
2011,2020-10-20,86
2011,2020-10-21,85
2011,2020-10-22,86.5
2011,2020-10-23,51
2011,2020-10-24,54.5
2011,2020-10-25,40
2011,2020-10-27,60.5
2011,2020-10-28,59
2011,2020-10-29,44
2011,2020-10-30,50.5
2011,2020-10-31,138.5
2011,2020-11-01,17.5
2011,2020-11-02,59
2011,2020-11-03,57
2011,2020-11-04,86.5
2011,2020-11-05,75
2011,2020-11-06,65.5
2011,2020-11-07,123
2011,2020-11-08,133
2011,2020-11-09,91.5
2011,2020-11-10,78
2011,2020-11-11,54
2011,2020-11-12,66
2011,2020-11-13,70
2011,2020-11-14,149
2011,2020-11-15,93.5
2011,2020-11-16,55
2011,2020-11-17,54.5
2011,2020-11-18,88.5
2011,2020-11-19,51
2011,2020-11-20,57.5
2011,2020-11-21,63
2011,2020-11-22,67.5
2011,2020-11-23,65.5
2011,2020-11-24,58
2011,2020-11-25,79
2011,2020-11-26,64.5
2011,2020-11-27,50.5
2011,2020-11-28,78.5
2011,2020-11-29,37.5
2011,2020-11-30,41
2011,2020-12-01,32.5
2011,2020-12-02,48.5
2011,2020-12-03,29
2011,2020-12-04,33.5
2011,2020-12-05,61
2011,2020-12-06,38.5
2011,2020-12-07,45
2011,2020-12-08,28
2011,2020-12-09,37.5
2011,2020-12-10,34.5
2011,2020-12-11,23.5
2011,2020-12-12,32
2011,2020-12-13,65.5
2011,2020-12-14,42.5
2011,2020-12-15,17.5
2011,2020-12-16,48
2011,2020-12-17,40.5
2011,2020-12-18,47
2011,2020-12-19,61
2011,2020-12-20,49.5
2011,2020-12-21,25
2011,2020-12-22,23.5
2011,2020-12-23,17
2011,2020-12-24,18
2011,2020-12-25,30.5
2011,2020-12-26,28.5
2011,2020-12-27,5.5
2011,2020-12-28,12.5
2011,2020-12-29,15
2011,2020-12-30,34.5
2011,2020-12-31,6.5
2012,2020-01-01,4
2012,2020-01-02,3
2012,2020-01-03,1
2012,2020-01-04,4.5
2012,2020-01-05,10.5
2012,2020-01-06,0.5
2012,2020-01-07,2
2012,2020-01-08,3.5
2012,2020-01-09,1.5
2012,2020-01-10,1
2012,2020-01-11,4.5
2012,2020-01-12,9
2012,2020-01-13,2
2012,2020-01-14,3.5
2012,2020-01-15,5.5
2012,2020-01-16,5
2012,2020-01-17,0.5
2012,2020-01-18,8.5
2012,2020-01-19,11
2012,2020-01-20,4.5
2012,2020-01-21,4.5
2012,2020-01-22,2
2012,2020-01-23,1
2012,2020-01-24,1.5
2012,2020-01-25,4
2012,2020-01-26,11
2012,2020-01-27,0
2012,2020-01-28,0
2012,2020-01-29,0
2012,2020-01-30,1
2012,2020-01-31,0.5
2012,2020-02-01,1.5
2012,2020-02-02,1.5
2012,2020-02-03,1
2012,2020-02-04,1.5
2012,2020-02-05,6
2012,2020-02-06,4
2012,2020-02-07,3
2012,2020-02-08,6.5
2012,2020-02-09,4.5
2012,2020-02-10,0.5
2012,2020-02-11,3.5
2012,2020-02-12,0
2012,2020-02-13,0.5
2012,2020-02-14,1.5
2012,2020-02-15,8
2012,2020-02-16,7
2012,2020-02-17,2
2012,2020-02-18,3
2012,2020-02-19,3
2012,2020-02-20,1.5
2012,2020-02-21,7
2012,2020-02-22,3.5
2012,2020-02-23,4
2012,2020-02-24,0.5
2012,2020-02-25,1
2012,2020-02-26,5
2012,2020-02-27,0.5
2012,2020-02-28,0
