"POSTE_ID","ind","average_week_day","average_week_end"
2011,"00",0.258687258687259,1.11650485436893
2011,"01",0.108108108108108,0.378640776699029
2011,"02",0.0501930501930502,0.29126213592233
2011,"03",0.0347490347490347,0.12621359223301
2011,"04",0.0115830115830116,0.116504854368932
2011,"05",0.27027027027027,0.0485436893203883
2011,"06",2.32046332046332,0.281553398058252
2011,"07",9.9034749034749,0.87378640776699
2011,"08",18.3629343629344,3.68932038834951
2011,"09",7.26640926640927,8.61165048543689
2011,"10",6.19305019305019,16.6019417475728
2011,"11",8.23938223938224,22.3009708737864
2011,"12",10.8455598455598,20.6504854368932
2011,"13",9.7992277992278,17.1650485436893
2011,"14",12.6216216216216,23.4854368932039
2011,"15",13.0656370656371,28.1359223300971
2011,"16",18.9034749034749,29.6990291262136
2011,"17",26.2200772200772,27.4368932038835
2011,"18",26.7181467181467,20.7572815533981
2011,"19",15.6718146718147,11.9611650485437
2011,"20",8.22007722007722,5.46601941747573
2011,"21",3.37065637065637,2.81553398058252
2011,"22",1.77606177606178,1.09708737864078
2011,"23",0.482625482625483,0.398058252427184
2012,"00",0.00772200772200772,0.0194174757281553
2012,"01",0,0.00970873786407767
2012,"02",0,0
2012,"03",0,0
2012,"04",0,0
2012,"05",0.0231660231660232,0
2012,"06",0.166023166023166,0
2012,"07",0.432432432432432,0.12621359223301
2012,"08",0.594594594594595,0.485436893203884
2012,"09",0.72972972972973,2.64077669902913
2012,"10",1.14285714285714,4.33980582524272
2012,"11",1.31660231660232,6.53398058252427
2012,"12",1.52123552123552,5.99029126213592
2012,"13",1.77992277992278,4.98058252427184
2012,"14",1.98069498069498,5.15533980582524
2012,"15",2.76061776061776,7.86407766990291
2012,"16",3.37451737451737,8.1747572815534
2012,"17",3.8957528957529,5.9126213592233
2012,"18",3.69111969111969,3.51456310679612
2012,"19",2.53667953667954,1.86407766990291
2012,"20",1.44787644787645,0.854368932038835
2012,"21",0.583011583011583,0.262135922330097
2012,"22",0.0579150579150579,0.106796116504854
2012,"23",0.027027027027027,0.058252427184466
2013,"00",0.0231660231660232,0.00970873786407767
2013,"01",0,0
2013,"02",0.00386100386100386,0
2013,"03",0,0.00970873786407767
2013,"04",0.00772200772200772,0
2013,"05",0.027027027027027,0.029126213592233
2013,"06",1.04247104247104,0.0485436893203883
2013,"07",2.25482625482625,0.572815533980582
2013,"08",3.27413127413127,1.60194174757282
2013,"09",2.22007722007722,2.93203883495146
2013,"10",2.11583011583012,4.90291262135922
2013,"11",2.18532818532819,5.39805825242718
2013,"12",2.26640926640927,4.90291262135922
2013,"13",3.11196911196911,4.92233009708738
2013,"14",3.06563706563707,4.95145631067961
2013,"15",3.1003861003861,6.50485436893204
2013,"16",3.49420849420849,6.44660194174757
2013,"17",3.8957528957529,5.19417475728155
2013,"18",3.61389961389961,3.67961165048544
