"Year","Ligne","LibBVU","Montee_Weekday_vac","Descente_Weekday_vac"
2017,60,"Rumelange",34.4547945205479,30.9643835616438
2017,60,"Sandweiler-Contern",91.3181818181818,100.545454545455
2017,60,"Schifflange",1225.99452054795,1142.68493150685
2017,60,"Tétange",14.8219178082192,10.4438356164384
2017,60,"Volmerange-les-Mines",121.446575342466,145.216438356164
2017,60,"Wasserbillig",178.227272727273,154.409090909091
2017,60,"Wecker",102,100.863636363636
2017,70,"Athus",535.594520547945,525.953424657534
2017,70,"Aubange",7.8027397260274,24.6904109589041
2017,70,"Bascharage-Sanem",635.506849315069,655.98904109589
2017,70,"Dippach-Reckange",291.221917808219,295.882191780822
2017,70,"Dommeldange",31.4090909090909,38.2272727272727
2017,70,"Halanzy",25.5753424657534,51.013698630137
2017,70,"Hollerich",355.257534246575,572.254794520548
