Year,Ligne,Localité Map,Montee_Weekday_vac,Descente_Weekday_vac
2018,10,Dommeldange,434.7178082,455.4986301
2018,10,Drauffelt,81.83287671,67.25753425
2018,10,Esch-sur-Alzette,15.29032258,48.06451613
2018,10,Ettelbruck,1944.813699,2050.583562
2018,10,Goebelsmühle,26.84931507,11.81917808
2018,10,Gouvy,47.16438356,11.84931507
2018,10,Heisdorf,172.9123288,183.3369863
2018,10,Howald,1.64516129,8.838709677
2018,10,Kautenbach,848.0547945,873.2630137
2018,10,Lamadelaine,0,4.064516129
2018,10,Lintgen,314.0849315,317.2136986
2018,10,Lorentzweiler,230.1643836,258.7315068
2018,10,Luxembourg,4728.347945,4525.99726
2018,10,Merkholtz,1.553424658,8.249315068
2018,10,Mersch,1712.945205,1851.273973
2018,10,Michelau,66.28219178,72.09041096
2018,10,Noertzange,0.322580645,1
2018,10,Pétange,0,0.64516129
2018,10,Wiltz,0.197260274,5.005479452
2018,10,Pfaffenthal-Kirchberg,1361.279452,1310.430137
2018,10,Rodange,0,0
2018,10,Schieren,149.4109589,176.7068493
2018,10,Schifflange,9.419354839,1.322580645
2018,10,Troisvierges,271.7260274,285.2465753
2018,10,Walferdange,326.7479452,328.230137
2018,10,Wiltz,564.7424658,526.9780822
2018,10,Wilwerwiltz,76.29863014,110.1890411
2018,16,Belval,542.2657534,758.630137
2018,16,Bettembourg,610.5041096,704.3972603
2018,16,Clervaux,290.090411,229.0657534
2018,16,Differdange,392.4136986,500.9452055
2018,16,Dommeldange,122.9479452,187.4958904
2018,16,Drauffelt,72.44931507,77.04931507
2018,16,Esch-sur-Alzette,1048.276712,1097.509589
2018,16,Ettelbruck,1151.021918,849.2520548
2018,16,Goebelsmühle,44.16712329,69.39178082
2018,16,Howald,61.73424658,86.5260274
2018,16,Kautenbach,331.1287671,273.6465753
2018,16,Lamadelaine,232.769863,98.84383562
2018,16,Luxembourg,3026.243836,2623.312329
2018,16,Mersch,651.6821918,675.7041096
