id,label,cx,cy
278,Fischbach,789.097,1235.33
279,Tandel,788.057,836.87
280,Frisange,785.183,1843.064
282,Gilsdorf,782.467,906.44
283,Walsdorf,782.467,711.48
285,Manom,778.317,2109.81
287,Thionville,776.787,2132.72
289,Roussy-le-Village,776.787,1917.29
294,Stegen,770.917,1023.54
304,Nommern,764.657,1106.86
305,Schoos,764.587,1218.1
319,Stolzembourg,757.747,665.95
326,Blaschette,748.367,1352.6
328,Bastendorf,745.437,853.84
334,Diekirch,743.347,920.47
341,Angelsberg,738.287,1203.24
345,Schrondweiler,733.197,1070.2
355,Roeser,726.737,1774.03
356,Glabach,725.897,1135.51
361,Fentange,722.427,1724.45
369,Hellange,714.197,1842.23
371,Eisenbach,713.637,535.27
372,Crauthem,713.337,1792.4
375,Putscheid,710.907,678.18
377,Bivange,708.667,1743.05
378,Brandenbourg,708.577,803.1
400,Rodershausen,694.637,473.87
401,Peppange,693.277,1817.28
402,Livange,692.007,1768.61
407,,689.817,1597.23
408,,689.817,1597.23
409,Landscheid,689.817,753.68
410,Nachtmanderscheid,689.817,705.33
412,Bofferdange,687.037,1375.18
413,Walferdange,686.817,1449.64
414,Helmsange,686.817,1433.12
415,Heisdorf,686.817,1416.62
416,Lorentzweiler,686.817,1351.74
417,Lintgen,686.817,1305.74
418,Bereldange,686.807,1473.65
420,Closdelt,683.037,823.51
424,Rollingen,679.817,1274.6
426,Weiler,678.747,667.22
439,Wahlhausen,672.637,613.2
440,Steinsel,671.897,1416.62
442,Hunsdorf,671.817,1362.61
443,Prettingen,671.817,1327.58
444,Cruchten,671.817,1114.8
451,Metzange,668.817,2129.58
456,Gossel-dange,666.137,1293.73
461,Sankt Vith,663.187,23.92
464,Kalborn,658.327,287.01
467,Lieler,656.987,229.87
469,Mersch,656.817,1232.37
472,Moesdorf,656.817,1178.08
473,Essingen,656.817,1148.2
475,Erpeldange-sur-Sûre,656.817,924.81
480,Leithum,653.247,137.53
481,Ettelbruck,652.667,970.08
484,Merscheid,650.707,687.92
487,Kockel-scheuer,649.297,1748.1
492,Gralingen,644.597,734.63
504,Colmar-Berg,637.547,1060.18
505,Schieren,637.187,1015.69
510,Parc Hosingen,634.037,590.12
512,Neubrück,633.187,23.92
514,Bettem-bourg,632.757,1833.49
517,Schoen-fels,631.187,1316.03
532,Hosingen,623.937,535.27
534,Hoscheid-Dickt,623.347,639.79
536,Hoscheid,623.267,704.83
540,Dudelange,621.407,1931.54
543,Beiler,620.217,136.68
546,Michelau,619.297,839.56
547,Warken,618.977,939.54
550,Burden,617.817,887.27
551,Heinerscheid,616.727,314.73
552,Roder,616.717,425.26
554,Volmerange-les-Mines,615.407,2004.92
561,Lipperscheid,610.537,785.99
571,Fennange,605.637,1832.15
575,Reckange,603.787,1228.46
576,Grüfflingen,603.187,23.92
577,Bridel,601.387,1475.08
578,Dorscheid,600.637,470.71
579,Abweiler,598.147,1773.45
580,Fischbach,597.527,371.91
581,Holzthum,596.247,606.57
582,Weiswampach,595.547,188.55
584,Hayange,592.587,2132.94
589,Marnach,585.357,422.62
591,Welscheid,583.117,864.58
592,Marienthal,582.827,1333.26
593,Keispelt,581.877,1368.03
594,Leudelange,581.677,1713.58
595,Kopstal,581.577,1451.04
596,Hupperdange,578.487,313.5
597,Breidfeld,577.827,241.55
598,Bissen,576.827,1128.16
600,Neidhausen,575.647,488.77
602,Schlindermanderscheid,575.357,744.32
603,Huncher-ange,574.697,1839.82
604,Bourscheid,573.437,811.66
605,Braunlauf,573.187,23.92
609,Consthum,569.847,646.9
610,Meispelt,568.277,1386.75
611,Noertzange,567.497,1861.55
613,Bockholtz,562.137,534.5
614,Niederfeulen,560.477,946.96
615,Goebelsmühle,559.057,766.85
616,Hollenfels,557.637,1317.79
618,Scheidel,552.577,842.82
619,Holler,551.467,241.55
620,Ansembourg,550.977,1356.65
621,Bergem,547.257,1821.3
622,Urspelt,544.967,372.91
624,Maldingen,543.187,23.92
625,Kayl,542.417,1929.31
628,Pontpierre,534.817,1808.92
629,Tétange,533.857,1955.82
630,Kehmen,533.787,828.74
632,Wemperhardt,533.267,146.15
633,Dondelange,532.507,1383.47
634,Munshausen,530.597,478.5
637,Kehlen,527.007,1446.62
638,Oberfeulen,526.857,976.91
639,Rumelange,525.297,1982.34
640,Clervaux,524.177,413.44
641,Binsfeld,523.517,241.55
643,Grevenknapp,521.887,1188.17
644,Roedgen,531.722,1699.27
647,Deiffelt,516.187,64.93
648,Beho,516.187,44.42
649,Dirbach,516.017,769.37
651,Siebenaler,514.407,538.19
657,Ottange,509.587,2040.7
658,Foetz,508.817,1834.82
659,Kautenbach,507.727,699.52
662,Wickrange,505.967,1771.69
664,Brouch,501.297,1260.6
665,Boevange-sur-Attert,499.057,1156.06
666,Pintsch,497.957,582.49
667,Bour,497.927,1358.39
668,Mecher,496.917,458.8
669,Wilwerdange,496.757,194.44
670,Huldange,495.437,132.22
671,Goedange,493.977,164.64
673,Buschdorf,493.627,1228.29
674,Michelbouch,492.087,1055.49
675,Ehlange,491.487,1760.74
676,Schifflange,488.167,1864.95
679,Ringel,487.087,794.04
680,Drinklange,484.377,211.58
681,Nospelt,483.807,1432.53
682,Tuntange,482.037,1314.79
683,Drauffelt,481.487,525.53
686,Reckange-sur-Mess,478.157,1715.02
