origin,dest,count
1041,2011,111.889493
1041,2012,8.3
1041,2021,5.0952381
1041,2022,6.53846154
1041,2031,7.04166667
1041,2032,5.42424242
1041,2033,6.55555556
1041,2034,5.42424242
1041,2041,15.3541667
1041,2042,14.5555556
1041,2043,94.2049145
1041,2044,28.2518286
1041,2045,18.5182595
1041,2051,15.0416667
1041,2061,18.1325758
1041,2071,15.175
1041,2081,20.9049672
1041,2082,10.8484848
1041,2092,12.849359
1041,2101,11.3333333
1041,2111,6.53846154
1041,2131,6.55555556
1041,2133,13.4242424
1041,2141,30.5925325
1041,3011,8.3125
1041,3012,71.2706374
1041,3013,57.4099622
1041,3014,139.877935
1041,3015,118.234249
1041,3016,5.42424242
1041,3017,23.4515152
1041,3019,76.0641496
1041,3020,37.7876263
1041,3021,18.2736014
1041,3022,33.732906
1041,3023,64.6326673
1041,3024,6.55555556
1041,4011,108.689524
1041,4021,7.31818182
1041,4031,8
1041,4032,13.1258741
1041,4041,5.42424242
1041,4043,31.082197
1041,4051,7.31818182
1041,4061,5.42424242
1041,4071,6.53846154
1041,4081,60.5033161
1041,4091,16.4458333
1041,4101,15.5833333
1041,5011,36.6874003
1041,5071,7.04166667
1041,5091,6.55555556
1041,7061,12.4666667
1041,7071,14.5555556
1041,8071,11.625
1041,8091,7.31818182
1041,8141,20.7546645
1041,11081,14.4
1041,12041,7.04166667
1041,12051,14.4
1041,13051,12.1061724
1041,13061,10.9
1041,54138,12.3683322
1041,54323,142.189506
1041,57672,11.7140857
1041,62063,12.7991171
1041,81001,23.2096584
1041,81003,48.1860369
1041,81004,11.2262841
1041,81015,87.2403088
1041,85046,58.7891134
1041,7235068,23.7351624
1051,1011,25.6
1051,1031,28.354762
1051,1041,34.5625
1051,1051,3454.30406
1051,1061,28.7368421
1051,1071,278.246937
1051,1091,175.918329
1051,1093,76.259919
1051,1111,323.69358
1051,2011,16.6923077
1051,2041,10.9615385
1051,2043,14.3684211
1051,2044,18
1051,2045,57.3128205
1051,2071,10.9615385
1051,2091,44.8186813
1051,2111,30.8230636
1051,2133,14.3684211
1051,2141,25.3
1051,3011,44.1115385
1051,3012,100.8
1051,3013,52.4017544
1051,3014,216.139064
1051,3015,190.926631
1051,3016,15.8571429
1051,3017,50.2273954
1051,3019,172.149084
1051,3020,63.7197031
1051,3021,19.1666667
1051,3022,45.7417582
1051,3023,62.7966262
1051,4011,70.6666667
