id,name,lat,lon
57038,Audun-le-Tiche,49.447,5.95719193
57076,Beyren-läs-Sierck,49.468,6.27819784
57124,Cattenom,49.392,6.2713857
57203,Evrange,49.465,6.1918713
57227,Forbach-Sarreguemines,49.017,7.01513207
57365,Kirschnaumen,49.404,6.47394632
57463,Metz,49.089,6.21287063
57498,Neufchef-Fameck,49.286,6.09241669
57529,Ottange,49.413,6.02934254
57531,Oudrenne,49.327,6.3660054
57565,RÇdange,49.489,5.92833063
57630,Sarrebourg,48.76,6.90371197
57650,Sierck-les-Bains,49.435,6.36903561
57672,Thionville,49.36,6.0958854
57731,Volmerange,49.432,6.06667439
57733,Volstroff,49.288,6.25570544
57764,Zoufftgen,49.442,6.12908504
62063,LI?GE,50.589,5.36649798
67482,STRASBOURG,48.593,7.53500699
68066,COLMAR,47.865,7.23154336
75056,PARIS,46.574,0.3823883
81001,Arlon,49.675,5.77812888
81003,Attert,49.747,5.75789778
81004,Aubange,49.576,5.77578979
81013,Martelange,49.857,5.69587126
81015,Messancy,49.616,5.80260546
82003,Bastogne,50.013,5.65304516
82014,Houffalize,50.149,5.75395658
82036,Vaux-sur-Sñre,49.94,5.61237498
82037,Gouvy,50.23,5.8866523
83034,Marche-en-Famenne,50.24,5.48429425
84043,NeufchÉteau,49.911,5.28715347
88160,EPINAL-CHAUMONT,48.133,5.95221619
5315001,KôLN,50.787,6.83873292
6412001,FRANKFURT,52.227,10.8727521
7111001,Koblenz,50.216,7.27143276
7211001,Trier,49.772,6.69702578
7232018,Bitburg,49.963,6.43737552
7232201,PrÅm,50.173,6.35396526
7235062,Kirf-Palzem,49.582,6.51587453
7235068,Konz,49.667,6.55813117
7235094,Newel,49.838,6.58709032
7235118,Saarburg,49.658,6.90800699
8212001,KARLSRUHE,48.666,10.8559004
10041100,SAARBRöCKEN,49.352,7.68870351
10042113,Merzig,49.414,6.73089384
10042115,Perl-Mettlach,49.499,6.50175004
