,StopPointCode,StopPointAuthority,StopPointShortName,StopPointPublicCode,StopPointStopType,StopPointLatitude,StopPointLongitude,passengers
60,1248922,AVL,"Hollerich, Kierfecht Quai 2",BOUI922,busStation,49.599611016313,6.11226659598475,821
61,1212902,AVL,Badanstalt Quai 2,BAIN902,busStation,49.6135433644822,6.12912361612882,846
62,2450902,AVL,F. D. Roosevelt Quai 2,ROOS902,busStation,49.6080148979319,6.13256345549772,309
63,1248921,AVL,\(131) Bouillon Quai 2,BOUI921,busStation,49.600104094558,6.10679763919739,968
64,2146072,AVL,Marcel Cahen Quai 2,MERL072,busStation,49.6019105070704,6.10097380000071,94
65,2146150,AVL,St Gengoul Quai 2,MERL150,busStation,49.6026941932611,6.09455973473881,408
66,1940444,AVL,Plak Quai 2,LONG444,busStation,49.6030938107119,6.08898506600106,218
67,1941486,AVL,Op der Millen Quai 2,LONG486,busStation,49.603503842474,6.08490469993145,498
68,8070023,AVL,"Strassen, Atrium Quai 2",PUIT023,busStation,49.6083533075312,6.07885611318039,811
69,8070012,AVL,"Strassen, Bourmicht Quai 2",MERO012,busStation,49.6109105118565,6.08072451993375,783
70,8069031,AVL,"Strassen, Les Thermes Quai 2",INDU031,busStation,49.6123098604373,6.07699956173323,186
71,8069017,AVL,"Bertrange, Spatzwiss Quai 2",INDU017,busStation,49.6106970903015,6.06837383373893,251
72,8069003,AVL,"Bertrange, Gare Bertrange Strassen Quai 2",INDU003,busStation,49.6130492273587,6.06108834224274,5
73,8080300,AVL,"Bertrange, Belle Étoile Quai 2",ARLO300,busStation,49.6219101399716,6.04904721405014,130
1,7228024,AVL,"Helmsange, Helsemer Barriär Quai 2",GARE024,busStation,49.6598818497627,6.13557048834497,870
4,2163045,AVL,Wampach Quai 1,MONT045,busStation,49.6098347301792,6.12107644478883,669
6,1479901,AVL,Stäreplaz / Étoile Quai 1,ARLO901,busStation,49.6133048576762,6.11916888852826,408
7,7220010,AVL,"Walferdange, Gemenge Plaz Quai 1",DIEK010,busStation,49.6591380915809,6.13133190913541,339
10,8268006,AVL,"Bertrange, École Européenne II Quai 6",THOR006,busStation,49.617470009397,6.03794732748527,608
