"POSTE_ID","date","C","V","T"
1,2021-01-02,9,461,470
1,2021-01-03,1,213,214
1,2021-01-04,20,1182,1202
1,2021-01-05,26,1175,1201
1,2021-01-06,33,1120,1153
1,2021-01-07,29,1193,1222
1,2021-01-08,33,1201,1234
1,2021-01-09,24,514,538
1,2021-01-10,7,244,251
1,2021-01-11,26,1345,1371
1,2021-01-12,16,1662,1678
1,2021-01-13,18,1405,1423
1,2021-01-14,15,1196,1211
1,2021-01-15,30,1167,1197
1,2021-01-16,8,453,461
1,2021-01-17,2,213,215
1,2021-01-18,21,1394,1415
1,2021-01-19,24,1492,1516
1,2021-01-20,24,1441,1465
1,2021-01-21,27,1626,1653
1,2021-01-22,35,1560,1595
1,2021-01-23,8,533,541
1,2021-01-24,6,264,270
1,2021-01-25,35,1325,1360
1,2021-01-26,44,1485,1529
1,2021-01-27,39,1310,1349
1,2021-01-28,25,1557,1582
1,2021-01-29,66,1728,1794
1,2021-01-30,2,543,545
1,2021-02-02,28,1576,1604
1,2021-02-03,30,1429,1459
1,2021-02-04,44,1540,1584
1,2021-02-05,27,1458,1485
1,2021-02-06,5,596,601
1,2021-02-07,6,265,271
1,2021-02-08,34,1356,1390
1,2021-02-09,37,1296,1333
1,2021-02-10,46,1457,1503
1,2021-02-11,41,1369,1410
1,2021-02-12,44,1366,1410
1,2021-02-13,10,591,601
1,2021-02-14,5,333,338
1,2021-02-15,51,1309,1360
1,2021-02-16,32,1377,1409
1,2021-02-17,29,1282,1311
1,2021-02-18,38,1313,1351
1,2021-02-19,34,1332,1366
1,2021-02-20,6,625,631
1,2021-02-21,2,332,334
1,2021-02-22,42,1439,1481
1,2021-02-23,49,1560,1609
1,2021-02-24,32,1464,1496
1,2021-02-25,46,1536,1582
1,2021-02-26,46,1473,1519
1,2021-02-27,18,642,660
1,2021-02-28,2,318,320
1,2021-03-02,51,1579,1630
1,2021-03-03,54,1518,1572
1,2021-03-04,46,1518,1564
1,2021-03-05,35,1528,1563
1,2021-03-06,15,643,658
1,2021-03-07,18,372,390
1,2021-03-08,62,1561,1623
1,2021-03-09,32,1647,1679
1,2021-03-10,41,1538,1579
1,2021-03-11,67,1754,1821
1,2021-03-12,76,1671,1747
1,2021-03-13,26,758,784
1,2021-03-14,4,290,294
1,2021-03-15,22,1591,1613
1,2021-03-16,26,1692,1718
1,2021-03-17,33,1533,1566
1,2021-03-18,35,1591,1626
1,2021-03-19,39,1542,1581
1,2021-03-20,12,670,682
1,2021-03-21,3,289,292
1,2021-03-22,61,1499,1560
1,2021-03-23,30,1617,1647
1,2021-03-24,38,1604,1642
1,2021-03-25,48,1599,1647
1,2021-03-26,46,1552,1598
1,2021-03-27,16,624,640
1,2021-03-29,42,1494,1536
1,2021-03-30,54,1630,1684
1,2021-04-02,71,1499,1570
1,2021-04-03,13,619,632
1,2021-04-04,0,299,299
1,2021-04-05,2,250,252
1,2021-04-06,56,1339,1395
1,2021-04-07,51,1254,1305
1,2021-04-08,52,1394,1446
1,2021-04-09,52,1413,1465
1,2021-04-10,10,583,593
1,2021-04-11,0,240,240
1,2021-04-12,39,1388,1427
1,2021-04-13,25,1448,1473
1,2021-04-14,35,1406,1441
1,2021-04-15,40,1472,1512
1,2021-04-16,39,1572,1611
1,2021-04-17,31,687,718
1,2021-04-18,5,334,339
1,2021-04-19,33,1509,1542
1,2021-04-20,34,1766,1800
